country,year,cereal_yield,fdi_perc_gdp,en_per_gdp,en_per_cap,co2_ttl,co2_per_cap,co2_per_gdp,pop_urb_aggl_perc,prot_area_perc,gdp,gni_per_cap,under_5_mort_rate,pop_growth_perc,pop,urb_pop_growth_perc,urb_pop
AGO,1991,417.4,5.449514579,179.2718841,565.4510272,4367.397,0.409948923,129.9711421,15.29072799,12.39982205,12193746625,820,239.1,3.034866008,10653515,6.687031627,4099472.572
ARE,1991,1594,0.076474867,245.9777061,12262.38813,57010.849,29.85155031,598.8079803,26.37720362,0.266886485,33919640390,19340,20.5,5.442852046,1909812,5.265704081,1507987.555
ARG,1991,2666.1,1.285578818,173.1228573,1434.960601,117021.304,3.536072783,426.6145171,39.11964614,4.772467633,1.8972E+11,3960,25.8,1.372593218,33093579,1.762636158,28903931.9
AUS,1991,1603.3,1.306912063,208.6866445,4926.727783,281530.258,16.28848982,689.9488734,60.35679819,7.915272997,3.29965E+11,18380,8.6,1.274577498,17284000,1.438377779,14784733.6
AUT,1991,5463,0.209141663,128.9391596,3381.07379,65888.656,8.448456122,322.1866483,19.74612057,20.99114271,1.72166E+11,21200,8.9,1.134999125,7798899,1.134999197,5131675.542
BGD,1991,2585.7,0.00449147,154.4961298,116.5114759,15940.449,0.147913464,196.1356819,9.443704315,1.537921851,30957444767,300,137.9,2.359199341,107768749,4.260207063,21747733.55
BGR,1991,3990,0.510803227,367.3874796,2560.054449,59706.094,6.91683202,992.6185296,13.78926089,2.416869928,10943548724,1620,22.3,-0.991362523,8632000,-0.570562446,5755817.6
BOL,1991,1358,0.973188746,124.8981181,394.9575232,5779.192,0.848155679,268.2137747,25.65598164,8.583622408,5343259489,760,116.7,2.306643038,6813834,3.664291615,3840276.842
BRA,1991,1850.6,0.270782606,131.1128045,939.2566474,219330.604,1.44157142,201.2319767,35.1379138,10.99454132,4.07338E+11,2870,57.1,1.654580522,152146887,2.453519525,114718752.8
CAN,1991,2580.7,0.480499567,283.9455264,7388.563674,449053.486,15.93988909,612.5764624,39.96829161,6.016160412,5.98208E+11,20420,8,1.360506045,28171681.96,1.647300663,21641486.08
